"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"__imp__NtReadFile","8200054c","Data Label","Global","Imported","0","0"
"__imp__NtDuplicateObject","82000550","Data Label","Global","Imported","0","0"
"__imp__NtAllocateVirtualMemory","82000554","Data Label","Global","Imported","0","0"
"__imp__NtFreeVirtualMemory","82000558","Data Label","Global","Imported","0","0"
"__imp__XexGetProcedureAddress","8200055c","Data Label","Global","Imported","0","0"
"__imp__ExLoadedCommandLine","82000560","Data Label","Global","Imported","1","0"
"__imp__RtlImageXexHeaderField","82000564","Data Label","Global","Imported","0","0"
"__imp__XexExecutableModuleHandle","82000568","Data Label","Global","Imported","1","0"
"__imp__HalReturnToFirmware","8200056c","Data Label","Global","Imported","0","0"
"__imp__KeDelayExecutionThread","82000570","Data Label","Global","Imported","0","0"
"__imp__ExCreateThread","82000574","Data Label","Global","Imported","0","0"
"__imp__NtQueryVolumeInformationFile","82000578","Data Label","Global","Imported","0","0"
"__imp__KeGetCurrentProcessType","8200057c","Data Label","Global","Imported","0","0"
"__imp__RtlCompareMemoryUlong","82000580","Data Label","Global","Imported","0","0"
"__imp__RtlRaiseException","82000584","Data Label","Global","Imported","0","0"
"__imp__ExTerminateThread","82000588","Data Label","Global","Imported","0","0"
"__imp__RtlTryEnterCriticalSection","8200058c","Data Label","Global","Imported","0","0"
"__imp__KeRaiseIrqlToDpcLevel","82000590","Data Label","Global","Imported","0","0"
"__imp__KfLowerIrql","82000594","Data Label","Global","Imported","0","0"
"__imp__KeReleaseSemaphore","82000598","Data Label","Global","Imported","0","0"
"__imp__XAudioGetVoiceCategoryVolume","8200059c","Data Label","Global","Imported","0","0"
"__imp__XAudioGetVoiceCategoryVolumeChangeMask","820005a0","Data Label","Global","Imported","0","0"
"__imp__KeWaitForMultipleObjects","820005a4","Data Label","Global","Imported","0","0"
"__imp__KeResumeThread","820005a8","Data Label","Global","Imported","0","0"
"__imp__KeInitializeSemaphore","820005ac","Data Label","Global","Imported","0","0"
"__imp__XMACreateContext","820005b0","Data Label","Global","Imported","0","0"
"__imp__XMAReleaseContext","820005b4","Data Label","Global","Imported","0","0"
"__imp__XAudioRegisterRenderDriverClient","820005b8","Data Label","Global","Imported","0","0"
"__imp__XAudioUnregisterRenderDriverClient","820005bc","Data Label","Global","Imported","0","0"
"__imp__XAudioSubmitRenderDriverFrame","820005c0","Data Label","Global","Imported","0","0"
"__imp__KeBugCheckEx","820005c4","Data Label","Global","Imported","0","0"
"__imp__XexCheckExecutablePrivilege","820005c8","Data Label","Global","Imported","0","0"
"__imp__NtClose","820005cc","Data Label","Global","Imported","0","0"
"__imp__NtCreateEvent","820005d0","Data Label","Global","Imported","0","0"
"__imp__KeSetAffinityThread","820005d4","Data Label","Global","Imported","0","0"
"__imp__KeTimeStampBundle","820005d8","Data Label","Global","Imported","1","0"
"__imp__NtCreateFile","820005dc","Data Label","Global","Imported","0","0"
"__imp__NtOpenFile","820005e0","Data Label","Global","Imported","0","0"
"__imp__MmQueryStatistics","820005e4","Data Label","Global","Imported","0","0"
"__imp__NtQueryVirtualMemory","820005e8","Data Label","Global","Imported","0","0"
"__imp__NtWaitForSingleObjectEx","820005ec","Data Label","Global","Imported","0","0"
"__imp__KeTlsFree","820005f0","Data Label","Global","Imported","0","0"
"__imp__KeTlsAlloc","820005f4","Data Label","Global","Imported","0","0"
"__imp__KeTlsSetValue","820005f8","Data Label","Global","Imported","0","0"
